Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[MirrorSceneDataset] Found 1000 scenes in data/synthetic/train
[MirrorSceneDataset] Found 200 scenes in data/synthetic/val
[DualHeadVGGT] Total params: 1354.5M
[DualHeadVGGT] Trainable params: 163.9M
[DualHeadVGGT] Frozen params: 1190.6M
============================================================
Starting Dual-Head Layered Baseline
  Train scenes: 1000
  Val scenes: 200
  Epochs: 20
  Device: cuda
============================================================
/mnt/afs/zhengmingkai/miniconda3/envs/rdh/lib/python3.12/site-packages/torch/nn/functional.py:6001: UserWarning: 1Torch was not compiled with memory efficient attention. (Triggered internally at /workspace/framework/mcPytorch/aten/src/ATen/native/transformers/cuda/sdp_utils.cpp:738.)
  return _scaled_dot_product_attention(query, key, value, attn_mask, dropout_p, is_causal, scale = scale, enable_gqa = enable_gqa)
[Epoch 1/20] Step 10/1000 | Loss: 5.8655 | L_primary: 2.3830 | L_secondary: 3.6506 | L_mask: 1.4439
[Epoch 1/20] Step 20/1000 | Loss: 5.6589 | L_primary: 1.6737 | L_secondary: 2.5542 | L_mask: 0.5214
[Epoch 1/20] Step 30/1000 | Loss: 5.2035 | L_primary: 1.9677 | L_secondary: 2.0851 | L_mask: 0.6872
[Epoch 1/20] Step 40/1000 | Loss: 5.0596 | L_primary: 2.1492 | L_secondary: 2.7318 | L_mask: 0.2633
[Epoch 1/20] Step 50/1000 | Loss: 5.0763 | L_primary: 2.1272 | L_secondary: 2.4156 | L_mask: 0.4810
[Epoch 1/20] Step 60/1000 | Loss: 4.8860 | L_primary: 2.3315 | L_secondary: 2.0969 | L_mask: 0.3646
[Epoch 1/20] Step 70/1000 | Loss: 5.4224 | L_primary: 3.1820 | L_secondary: 2.6406 | L_mask: 0.2084
[Epoch 1/20] Step 80/1000 | Loss: 5.1683 | L_primary: 2.2607 | L_secondary: 2.5518 | L_mask: 0.0921
[Epoch 1/20] Step 90/1000 | Loss: 5.3524 | L_primary: 2.5830 | L_secondary: 2.4421 | L_mask: 0.5075
[Epoch 1/20] Step 100/1000 | Loss: 4.6212 | L_primary: 2.1294 | L_secondary: 2.1232 | L_mask: 0.1871
[Epoch 1/20] Step 110/1000 | Loss: 4.8694 | L_primary: 2.2068 | L_secondary: 1.9411 | L_mask: 0.0809
[Epoch 1/20] Step 120/1000 | Loss: 4.7909 | L_primary: 1.4546 | L_secondary: 2.3498 | L_mask: 0.2947
[Epoch 1/20] Step 130/1000 | Loss: 5.1869 | L_primary: 2.0171 | L_secondary: 2.4360 | L_mask: 0.2406
[Epoch 1/20] Step 140/1000 | Loss: 4.5971 | L_primary: 2.2151 | L_secondary: 2.3426 | L_mask: 0.3015
[Epoch 1/20] Step 150/1000 | Loss: 4.9757 | L_primary: 2.3517 | L_secondary: 2.6553 | L_mask: 0.1096
[Epoch 1/20] Step 160/1000 | Loss: 4.7410 | L_primary: 2.2783 | L_secondary: 1.7375 | L_mask: 0.0686
[Epoch 1/20] Step 170/1000 | Loss: 4.8781 | L_primary: 2.5109 | L_secondary: 2.9697 | L_mask: 0.1022
[Epoch 1/20] Step 180/1000 | Loss: 4.5573 | L_primary: 2.0293 | L_secondary: 2.0051 | L_mask: 0.1718
[Epoch 1/20] Step 190/1000 | Loss: 4.5408 | L_primary: 1.5358 | L_secondary: 1.8750 | L_mask: 0.2316
[Epoch 1/20] Step 200/1000 | Loss: 4.1711 | L_primary: 2.8185 | L_secondary: 2.4133 | L_mask: 0.2489
[Epoch 1/20] Step 210/1000 | Loss: 4.8811 | L_primary: 2.4948 | L_secondary: 1.9263 | L_mask: 0.2273
[Epoch 1/20] Step 220/1000 | Loss: 4.4192 | L_primary: 2.0396 | L_secondary: 2.1357 | L_mask: 0.1819
[Epoch 1/20] Step 230/1000 | Loss: 4.5422 | L_primary: 2.3655 | L_secondary: 2.9239 | L_mask: 0.0177
[Epoch 1/20] Step 240/1000 | Loss: 3.9946 | L_primary: 1.3631 | L_secondary: 1.8760 | L_mask: 0.2009
[Epoch 1/20] Step 250/1000 | Loss: 4.4533 | L_primary: 2.1634 | L_secondary: 2.1700 | L_mask: 0.1641
[Epoch 1/20] Step 260/1000 | Loss: 4.6477 | L_primary: 2.4618 | L_secondary: 2.6074 | L_mask: 0.0515
[Epoch 1/20] Step 270/1000 | Loss: 4.6037 | L_primary: 2.0832 | L_secondary: 2.1270 | L_mask: 0.3837
[Epoch 1/20] Step 280/1000 | Loss: 4.4184 | L_primary: 2.1793 | L_secondary: 2.2858 | L_mask: 0.2339
[Epoch 1/20] Step 290/1000 | Loss: 3.7579 | L_primary: 1.3880 | L_secondary: 1.6495 | L_mask: 0.2010
[Epoch 1/20] Step 300/1000 | Loss: 4.9032 | L_primary: 2.8699 | L_secondary: 3.2604 | L_mask: 0.1496
[Epoch 1/20] Step 310/1000 | Loss: 3.7985 | L_primary: 2.3874 | L_secondary: 2.3554 | L_mask: 0.0728
[Epoch 1/20] Step 320/1000 | Loss: 4.5640 | L_primary: 2.4371 | L_secondary: 3.0926 | L_mask: 0.1275
[Epoch 1/20] Step 330/1000 | Loss: 4.3878 | L_primary: 0.8508 | L_secondary: 2.5651 | L_mask: 0.2833
