Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[MirrorSceneDataset] Found 1000 scenes in data/synthetic/train
[MirrorSceneDataset] Found 200 scenes in data/synthetic/val
[SingleHeadVGGT] Total params: 1321.8M
[SingleHeadVGGT] Trainable params: 131.3M
[SingleHeadVGGT] Frozen params: 1190.6M
============================================================
Starting Single-Head Composite Baseline
  Train scenes: 1000
  Val scenes: 200
  Epochs: 20
  Device: cuda
============================================================
/mnt/afs/zhengmingkai/miniconda3/envs/rdh/lib/python3.12/site-packages/torch/nn/functional.py:6001: UserWarning: 1Torch was not compiled with memory efficient attention. (Triggered internally at /workspace/framework/mcPytorch/aten/src/ATen/native/transformers/cuda/sdp_utils.cpp:738.)
  return _scaled_dot_product_attention(query, key, value, attn_mask, dropout_p, is_causal, scale = scale, enable_gqa = enable_gqa)
[Epoch 1/20] Step 10/1000 | Loss: 2.6633 | L_point: 2.0856 | L_mask: 0.4773
[Epoch 1/20] Step 20/1000 | Loss: 3.5852 | L_point: 3.1060 | L_mask: 0.4900
[Epoch 1/20] Step 30/1000 | Loss: 2.7482 | L_point: 2.1840 | L_mask: 0.1949
[Epoch 1/20] Step 40/1000 | Loss: 2.8421 | L_point: 2.4697 | L_mask: 0.1591
[Epoch 1/20] Step 50/1000 | Loss: 2.6766 | L_point: 2.6599 | L_mask: 0.1111
[Epoch 1/20] Step 60/1000 | Loss: 2.5603 | L_point: 2.4422 | L_mask: 0.3088
[Epoch 1/20] Step 70/1000 | Loss: 2.4904 | L_point: 2.5742 | L_mask: 0.2505
[Epoch 1/20] Step 80/1000 | Loss: 2.2588 | L_point: 2.0682 | L_mask: 0.0864
[Epoch 1/20] Step 90/1000 | Loss: 2.3698 | L_point: 2.0762 | L_mask: 0.2383
[Epoch 1/20] Step 100/1000 | Loss: 2.2483 | L_point: 1.6652 | L_mask: 0.1162
[Epoch 1/20] Step 110/1000 | Loss: 2.8304 | L_point: 2.1626 | L_mask: 0.4183
[Epoch 1/20] Step 120/1000 | Loss: 2.5038 | L_point: 2.2863 | L_mask: 0.1719
[Epoch 1/20] Step 130/1000 | Loss: 2.5193 | L_point: 1.9365 | L_mask: 0.2800
[Epoch 1/20] Step 140/1000 | Loss: 2.2065 | L_point: 2.3665 | L_mask: 0.1169
[Epoch 1/20] Step 150/1000 | Loss: 2.3811 | L_point: 1.9608 | L_mask: 0.1330
[Epoch 1/20] Step 160/1000 | Loss: 2.3173 | L_point: 3.0876 | L_mask: 0.0743
[Epoch 1/20] Step 170/1000 | Loss: 2.3172 | L_point: 1.9265 | L_mask: 0.1355
[Epoch 1/20] Step 180/1000 | Loss: 2.2715 | L_point: 2.2489 | L_mask: 0.2357
[Epoch 1/20] Step 190/1000 | Loss: 2.0965 | L_point: 2.8311 | L_mask: 0.1027
[Epoch 1/20] Step 200/1000 | Loss: 2.5059 | L_point: 3.0214 | L_mask: 0.2056
[Epoch 1/20] Step 210/1000 | Loss: 2.3004 | L_point: 2.4117 | L_mask: 0.1844
[Epoch 1/20] Step 220/1000 | Loss: 2.1695 | L_point: 3.1873 | L_mask: 0.2235
[Epoch 1/20] Step 230/1000 | Loss: 2.1704 | L_point: 2.2195 | L_mask: 0.2272
[Epoch 1/20] Step 240/1000 | Loss: 2.1974 | L_point: 1.8173 | L_mask: 0.1940
[Epoch 1/20] Step 250/1000 | Loss: 2.1863 | L_point: 1.4477 | L_mask: 0.3099
[Epoch 1/20] Step 260/1000 | Loss: 2.2928 | L_point: 1.9698 | L_mask: 0.2674
[Epoch 1/20] Step 270/1000 | Loss: 2.0407 | L_point: 2.4809 | L_mask: 0.1909
[Epoch 1/20] Step 280/1000 | Loss: 2.4432 | L_point: 2.1486 | L_mask: 0.2612
[Epoch 1/20] Step 290/1000 | Loss: 2.2323 | L_point: 1.5366 | L_mask: 0.1735
[Epoch 1/20] Step 300/1000 | Loss: 2.1480 | L_point: 1.7546 | L_mask: 0.1853
[Epoch 1/20] Step 310/1000 | Loss: 2.0597 | L_point: 1.4416 | L_mask: 0.0727
[Epoch 1/20] Step 320/1000 | Loss: 2.1632 | L_point: 1.4971 | L_mask: 0.1148
[Epoch 1/20] Step 330/1000 | Loss: 2.2259 | L_point: 2.3692 | L_mask: 0.0377
[Epoch 1/20] Step 340/1000 | Loss: 2.2293 | L_point: 1.3109 | L_mask: 0.0590
[Epoch 1/20] Step 350/1000 | Loss: 2.2942 | L_point: 1.6202 | L_mask: 0.0614
[Epoch 1/20] Step 360/1000 | Loss: 2.2615 | L_point: 2.2745 | L_mask: 0.1298
[Epoch 1/20] Step 370/1000 | Loss: 2.0617 | L_point: 2.4637 | L_mask: 0.0694
[Epoch 1/20] Step 380/1000 | Loss: 2.2474 | L_point: 1.9925 | L_mask: 0.3832
[Epoch 1/20] Step 390/1000 | Loss: 2.0121 | L_point: 1.1811 | L_mask: 0.0898
[Epoch 1/20] Step 400/1000 | Loss: 1.9492 | L_point: 2.2216 | L_mask: 0.1758
[Epoch 1/20] Step 410/1000 | Loss: 2.0028 | L_point: 1.3496 | L_mask: 0.1043
[Epoch 1/20] Step 420/1000 | Loss: 2.2128 | L_point: 2.1968 | L_mask: 0.2482
[Epoch 1/20] Step 430/1000 | Loss: 2.3521 | L_point: 2.2039 | L_mask: 0.1790
[Epoch 1/20] Step 440/1000 | Loss: 2.1663 | L_point: 2.4165 | L_mask: 0.2309
[Epoch 1/20] Step 450/1000 | Loss: 2.1203 | L_point: 2.2332 | L_mask: 0.2240
[Epoch 1/20] Step 460/1000 | Loss: 2.2020 | L_point: 2.0666 | L_mask: 0.1266
[Epoch 1/20] Step 470/1000 | Loss: 1.9810 | L_point: 1.5748 | L_mask: 0.0569
[Epoch 1/20] Step 480/1000 | Loss: 2.2078 | L_point: 2.0207 | L_mask: 0.2063
[Epoch 1/20] Step 490/1000 | Loss: 2.1799 | L_point: 2.0985 | L_mask: 0.1173
[Epoch 1/20] Step 500/1000 | Loss: 1.9849 | L_point: 1.0798 | L_mask: 0.1005
[Epoch 1/20] Step 510/1000 | Loss: 2.1769 | L_point: 1.9312 | L_mask: 0.1066
[Epoch 1/20] Step 520/1000 | Loss: 1.9565 | L_point: 2.2921 | L_mask: 0.0679
[Epoch 1/20] Step 530/1000 | Loss: 1.8466 | L_point: 1.9892 | L_mask: 0.2691
[Epoch 1/20] Step 540/1000 | Loss: 1.7985 | L_point: 1.4625 | L_mask: 0.1509
[Epoch 1/20] Step 550/1000 | Loss: 2.0756 | L_point: 1.3965 | L_mask: 0.3550
[Epoch 1/20] Step 560/1000 | Loss: 2.2528 | L_point: 2.6154 | L_mask: 0.1031
[Epoch 1/20] Step 570/1000 | Loss: 2.2258 | L_point: 2.2028 | L_mask: 0.1444
[Epoch 1/20] Step 580/1000 | Loss: 1.9847 | L_point: 1.8205 | L_mask: 0.1721
[Epoch 1/20] Step 590/1000 | Loss: 2.1156 | L_point: 1.8789 | L_mask: 0.2262
[Epoch 1/20] Step 600/1000 | Loss: 2.4439 | L_point: 3.6662 | L_mask: 0.3143
[Epoch 1/20] Step 610/1000 | Loss: 1.8836 | L_point: 1.3679 | L_mask: 0.1963
[Epoch 1/20] Step 620/1000 | Loss: 2.0212 | L_point: 2.0966 | L_mask: 0.0092
[Epoch 1/20] Step 630/1000 | Loss: 1.8823 | L_point: 1.9653 | L_mask: 0.2425
[Epoch 1/20] Step 640/1000 | Loss: 2.0356 | L_point: 3.0007 | L_mask: 0.0749
[Epoch 1/20] Step 650/1000 | Loss: 2.3050 | L_point: 1.9494 | L_mask: 0.4112
[Epoch 1/20] Step 660/1000 | Loss: 2.0665 | L_point: 2.3523 | L_mask: 0.0426
[Epoch 1/20] Step 670/1000 | Loss: 1.8659 | L_point: 2.0563 | L_mask: 0.1492
[Epoch 1/20] Step 680/1000 | Loss: 2.1193 | L_point: 1.8384 | L_mask: 0.1110
[Epoch 1/20] Step 690/1000 | Loss: 2.0850 | L_point: 1.7818 | L_mask: 0.1577
[Epoch 1/20] Step 700/1000 | Loss: 2.0028 | L_point: 2.1717 | L_mask: 0.3133
[Epoch 1/20] Step 710/1000 | Loss: 2.0688 | L_point: 1.5374 | L_mask: 0.3736
[Epoch 1/20] Step 720/1000 | Loss: 1.8889 | L_point: 1.9602 | L_mask: 0.0700
[Epoch 1/20] Step 730/1000 | Loss: 1.7919 | L_point: 1.5349 | L_mask: 0.1748
[Epoch 1/20] Step 740/1000 | Loss: 2.2934 | L_point: 2.7642 | L_mask: 0.1171
[Epoch 1/20] Step 750/1000 | Loss: 1.8394 | L_point: 1.6637 | L_mask: 0.0553
[Epoch 1/20] Step 760/1000 | Loss: 2.0956 | L_point: 2.5957 | L_mask: 0.0421
[Epoch 1/20] Step 770/1000 | Loss: 1.9476 | L_point: 1.9792 | L_mask: 0.0680
[Epoch 1/20] Step 780/1000 | Loss: 1.7839 | L_point: 1.5519 | L_mask: 0.0930
[Epoch 1/20] Step 790/1000 | Loss: 2.0443 | L_point: 2.4443 | L_mask: 0.0300
[Epoch 1/20] Step 800/1000 | Loss: 2.0093 | L_point: 2.2668 | L_mask: 0.0525
[Epoch 1/20] Step 810/1000 | Loss: 2.2563 | L_point: 1.3296 | L_mask: 0.0909
[Epoch 1/20] Step 820/1000 | Loss: 1.8422 | L_point: 1.1145 | L_mask: 0.2567
[Epoch 1/20] Step 830/1000 | Loss: 2.0897 | L_point: 1.4809 | L_mask: 0.0322
[Epoch 1/20] Step 840/1000 | Loss: 1.9528 | L_point: 1.6024 | L_mask: 0.2545
[Epoch 1/20] Step 850/1000 | Loss: 2.2042 | L_point: 2.0324 | L_mask: 0.1582
[Epoch 1/20] Step 860/1000 | Loss: 1.7187 | L_point: 1.7547 | L_mask: 0.0392
[Epoch 1/20] Step 870/1000 | Loss: 1.8306 | L_point: 1.7027 | L_mask: 0.1318
[Epoch 1/20] Step 880/1000 | Loss: 2.1712 | L_point: 2.4733 | L_mask: 0.1122
[Epoch 1/20] Step 890/1000 | Loss: 1.9865 | L_point: 2.0267 | L_mask: 0.1112
[Epoch 1/20] Step 900/1000 | Loss: 1.9540 | L_point: 1.0982 | L_mask: 0.1015
[Epoch 1/20] Step 910/1000 | Loss: 1.9927 | L_point: 2.4468 | L_mask: 0.1038
[Epoch 1/20] Step 920/1000 | Loss: 2.7230 | L_point: 9.8877 | L_mask: 0.0017
[Epoch 1/20] Step 930/1000 | Loss: 1.7716 | L_point: 2.1854 | L_mask: 0.0246
[Epoch 1/20] Step 940/1000 | Loss: 1.6515 | L_point: 2.6081 | L_mask: 0.3271
[Epoch 1/20] Step 950/1000 | Loss: 1.7731 | L_point: 2.0551 | L_mask: 0.2455
[Epoch 1/20] Step 960/1000 | Loss: 1.7423 | L_point: 1.3809 | L_mask: 0.0834
[Epoch 1/20] Step 970/1000 | Loss: 2.0976 | L_point: 2.2639 | L_mask: 0.1573
[Epoch 1/20] Step 980/1000 | Loss: 1.6683 | L_point: 1.7267 | L_mask: 0.0182
[Epoch 1/20] Step 990/1000 | Loss: 1.9521 | L_point: 1.5840 | L_mask: 0.1176
[Epoch 1/20] Step 1000/1000 | Loss: 1.9032 | L_point: 1.4784 | L_mask: 0.0407
Epoch 1 done in 2206s | Avg loss: 2.1568
[Epoch 2/20] Step 10/1000 | Loss: 1.7607 | L_point: 2.1099 | L_mask: 0.0291
[Epoch 2/20] Step 20/1000 | Loss: 2.0169 | L_point: 2.6473 | L_mask: 0.0077
[Epoch 2/20] Step 30/1000 | Loss: 1.8895 | L_point: 1.7020 | L_mask: 0.0354
[Epoch 2/20] Step 40/1000 | Loss: 1.9029 | L_point: 1.6447 | L_mask: 0.0238
[Epoch 2/20] Step 50/1000 | Loss: 1.7599 | L_point: 1.7298 | L_mask: 0.1008
[Epoch 2/20] Step 60/1000 | Loss: 1.8480 | L_point: 1.9522 | L_mask: 0.0959
[Epoch 2/20] Step 70/1000 | Loss: 1.5605 | L_point: 1.4457 | L_mask: 0.1813
[Epoch 2/20] Step 80/1000 | Loss: 1.6755 | L_point: 1.6329 | L_mask: 0.0739
[Epoch 2/20] Step 90/1000 | Loss: 1.8434 | L_point: 1.6988 | L_mask: 0.1118
[Epoch 2/20] Step 100/1000 | Loss: 1.4723 | L_point: 1.6377 | L_mask: 0.0915
[Epoch 2/20] Step 110/1000 | Loss: 1.5251 | L_point: 1.6076 | L_mask: 0.2785
[Epoch 2/20] Step 120/1000 | Loss: 1.4675 | L_point: 2.1587 | L_mask: 0.0290
[Epoch 2/20] Step 130/1000 | Loss: 1.9520 | L_point: 1.1598 | L_mask: 0.1176
[Epoch 2/20] Step 140/1000 | Loss: 1.9155 | L_point: 2.1255 | L_mask: 0.0051
[Epoch 2/20] Step 150/1000 | Loss: 1.9142 | L_point: 2.5649 | L_mask: 0.1409
[Epoch 2/20] Step 160/1000 | Loss: 1.5940 | L_point: 1.8204 | L_mask: 0.1173
[Epoch 2/20] Step 170/1000 | Loss: 1.6067 | L_point: 1.9338 | L_mask: 0.1005
[Epoch 2/20] Step 180/1000 | Loss: 1.5510 | L_point: 2.1549 | L_mask: 0.0462
